@1397848258473 | OLTP Data Parser: Initiated
@1397848310091 | Worker 4: Stopped
@1397848310166 | OLTP Data Parser: 1 transactions in queue
@1397848310202 | Transaction 321: Verified => $2365.101710647165 from ???????????? ????????:57 to Wells Fargo:11
@1397848310239 | Worker 27: committing Transaction 331
@1397848310275 | Transaction 331: Verifying
@1397848310312 | Transaction 320: Verified => $8720.698766067782 from Chase:18 to Capitol One:9
@1397848310348 | Transaction 320: Verifying
@1397848310385 | Transaction 302: Verified => $875.5375952502243 from Capitol One:19 to Zion's Bank:12
@1397848310421 | Worker 109: Stopped
@1397848310458 | Transaction 319: Verified => $8688.405843716031 from MetLife:12 to Zion's Bank:36
@1397848310494 | Worker 115: committing Transaction 332
@1397848310530 | Transaction 332: Verifying
@1397848310567 | OLTP Data Parser: 1 transactions in queue
@1397848310604 | Transaction 323: Verified => $425.1375586831596 from Zion's Bank:13 to Zion's Bank:17
@1397848310640 | Transaction 323: Verifying
@1397848310678 | Transaction 311: Verified => $395.3591806215362 from Wells Fargo:28 to Chase:39
@1397848310715 | Worker 22: Stopped
@1397848310752 | Transaction 328: Verified => $9969.787482615904 from Zion's Bank:14 to Chase:5
@1397848310788 | Transaction 328: Verifying
@1397848310825 | Transaction 319: Verifying
@1397848310862 | Transaction 317: Verified => $7703.511375508929 from MetLife:5 to Chase:33
@1397848310898 | Worker 23: committing Transaction 333
@1397848310935 | Transaction 333: Verifying
@1397848310972 | OLTP Data Parser: 1 transactions in queue
@1397848311008 | Transaction 318: Verified => $5226.044684873638 from Zion's Bank:17 to Capitol One:14
@1397848311045 | Transaction 317: Verifying
@1397848311083 | Transaction 318: Verifying
@1397848311200 | Transaction 324: Verified => $4719.578087948684 from Chase:42 to Zion's Bank:26
@1397848311237 | Worker 29: committing Transaction 334
@1397848311275 | Transaction 334: Verifying
@1397848311312 | OLTP Data Parser: 1 transactions in queue
@1397848311349 | Transaction 329: Error
@1397848311386 | Transaction 324: Verifying
@1397848311423 | Transaction 329: Verifying
@1397848311550 | OLTP Data Parser: 1 transactions in queue
@1397848311587 | Transaction 315: Verified => $1554.873879803156 from MetLife:8 to ???????????? ????????:64
@1397848311625 | Worker 28: Stopped
@1397848311661 | Worker 65: committing Transaction 335
@1397848311698 | Transaction 335: Verifying
@1397848311788 | OLTP Data Parser: 1 transactions in queue
@1397848311824 | Worker 147: committing Transaction 336
@1397848311861 | Transaction 336: Verifying
@1397848312025 | OLTP Data Parser: 1 transactions in queue
@1397848312062 | Transaction 323: Verified => $425.1375586831596 from Zion's Bank:13 to Zion's Bank:17
@1397848312100 | Worker 124: Stopped
@1397848312137 | Worker 125: committing Transaction 337
@1397848312174 | Transaction 337: Verifying
@1397848312243 | Transaction 328: Error
@1397848312280 | Worker 117: Stopped
@1397848312317 | Worker 118: committing Transaction 338
@1397848312354 | Transaction 338: Verifying
@1397848312391 | OLTP Data Parser: 1 transactions in queue
@1397848312428 | Transaction 313: Verified => $6687.799180014791 from Wells Fargo:48 to Citi:1
@1397848312464 | Worker 52: Stopped
@1397848312524 | Transaction 322: Verified => $8160.769165019368 from MetLife:47 to Capitol One:14
@1397848312561 | Transaction 322: Verifying
@1397848312628 | OLTP Data Parser: 1 transactions in queue
@1397848312665 | Transaction 326: Verified => $5788.049999527449 from Zion's Bank:25 to ???????????? ????????:66
@1397848312702 | Worker 17: committing Transaction 339
@1397848312739 | Transaction 339: Verifying
@1397848312776 | Transaction 326: Verifying
@1397848312813 | Transaction 316: Verified => $7693.61673746696 from ???????????? ????????:21 to MetLife:13
@1397848312850 | Worker 2: Stopped
@1397848312888 | Transaction 319: Verified => $8688.405843716031 from MetLife:12 to Zion's Bank:36
@1397848312925 | Worker 127: committing Transaction 340
@1397848312961 | Transaction 340: Verifying
@1397848312999 | OLTP Data Parser: 1 transactions in queue
@1397848313036 | Transaction 312: Verified => $6922.417477651216 from Capitol One:12 to MetLife:39
@1397848313073 | Worker 59: Stopped
@1397848313110 | Transaction 325: Verified => $1488.4989842246378 from Wells Fargo:42 to Capitol One:16
@1397848313147 | Transaction 325: Verifying
@1397848313236 | OLTP Data Parser: 1 transactions in queue
@1397848313274 | Worker 121: committing Transaction 341
@1397848313311 | Transaction 341: Verifying
@1397848313348 | Transaction 320: Verified => $8720.698766067782 from Chase:18 to Capitol One:9
@1397848313385 | Worker 31: Stopped
@1397848313475 | OLTP Data Parser: 1 transactions in queue
@1397848313512 | Transaction 329: Error
@1397848313550 | Worker 113: Stopped
@1397848313587 | Worker 120: committing Transaction 342
@1397848313624 | Transaction 342: Verifying
@1397848313713 | OLTP Data Parser: 1 transactions in queue
@1397848313751 | Worker 137: committing Transaction 343
@1397848313788 | Transaction 343: Verifying
@1397848313857 | Transaction 327: Verified => $5642.126460905253 from Citi:15 to Citi:3
@1397848313894 | Transaction 327: Verifying
@1397848313944 | Transaction 339: Verified => $5284.198538274497 from MetLife:19 to MetLife:43
@1397848313982 | Worker 119: committing Transaction 344
@1397848314020 | Transaction 344: Verifying
@1397848314057 | OLTP Data Parser: 1 transactions in queue
@1397848314095 | Transaction 330: Verified => $2997.39542490981 from ???????????? ????????:33 to Wells Fargo:23
@1397848314132 | Transaction 330: Verifying
@1397848314170 | Transaction 322: Verified => $8160.769165019368 from MetLife:47 to Capitol One:14
@1397848314207 | Transaction 339: Verifying
@1397848314245 | Transaction 337: Verified => $1256.8721943894113 from Zion's Bank:43 to Chase:16
@1397848314282 | Transaction 337: Verifying
@1397848314320 | Worker 128: committing Transaction 345
@1397848314358 | Transaction 345: Verifying
@1397848314395 | OLTP Data Parser: 1 transactions in queue
@1397848314433 | Transaction 336: Verified => $8296.561533866996 from MetLife:33 to Wells Fargo:46
@1397848314471 | Transaction 336: Verifying
@1397848314508 | Transaction 335: Verified => $1069.450615786165 from Capitol One:1 to Zion's Bank:31
@1397848314546 | Transaction 335: Verifying
@1397848314584 | Transaction 332: Verified => $343.05795599956946 from ???????????? ????????:27 to Chase:40
@1397848314622 | Transaction 314: Verified => $720.2345945627575 from Wells Fargo:1 to Citi:14
@1397848314660 | Transaction 331: Verified => $4829.793786496794 from Wells Fargo:3 to Citi:7
@1397848314698 | Worker 129: committing Transaction 346
@1397848314737 | Transaction 346: Verifying
@1397848314775 | OLTP Data Parser: 1 transactions in queue
@1397848314813 | Transaction 332: Verifying
@1397848314851 | Transaction 333: Verified => $5383.653490410214 from Citi:2 to Capitol One:1
@1397848314889 | Transaction 333: Verifying
@1397848314929 | Transaction 331: Verifying
@1397848315014 | OLTP Data Parser: 1 transactions in queue
@1397848315052 | Worker 38: committing Transaction 347
@1397848315090 | Transaction 347: Verifying
@1397848315127 | Transaction 341: Verified => $4584.433475657505 from Wells Fargo:40 to Citi:17
@1397848315166 | Transaction 341: Verifying
@1397848315204 | Transaction 324: Verified => $4719.578087948684 from Chase:42 to Zion's Bank:26
@1397848315241 | Worker 7: Stopped
@1397848315279 | Worker 132: committing Transaction 348
@1397848315317 | Transaction 348: Verifying
@1397848315355 | OLTP Data Parser: 1 transactions in queue
@1397848315594 | OLTP Data Parser: 1 transactions in queue
@1397848315632 | Worker 10: committing Transaction 349
@1397848315671 | Transaction 349: Verifying
@1397848315710 | Transaction 317: Verified => $7703.511375508929 from MetLife:5 to Chase:33
@1397848315747 | Worker 104: Stopped
@1397848315832 | OLTP Data Parser: 1 transactions in queue
@1397848315870 | Worker 142: committing Transaction 350
@1397848315909 | Transaction 350: Verifying
@1397848315946 | Transaction 318: Verified => $5226.044684873638 from Zion's Bank:17 to Capitol One:14
@1397848315985 | Worker 114: Stopped
@1397848316023 | Transaction 326: Verified => $5788.049999527449 from Zion's Bank:25 to ???????????? ????????:66
@1397848316061 | Transaction 325: Verified => $1488.4989842246378 from Wells Fargo:42 to Capitol One:16
@1397848316099 | Worker 138: Stopped
@1397848316137 | Transaction 337: Verified => $1256.8721943894113 from Zion's Bank:43 to Chase:16
@1397848316176 | Worker 125: Stopped
@1397848316214 | Transaction 334: Verified => $3787.766754465014 from Capitol One:4 to MetLife:10
@1397848316252 | Worker 130: committing Transaction 351
@1397848316290 | Transaction 351: Verifying
@1397848316330 | OLTP Data Parser: 1 transactions in queue
@1397848316369 | Transaction 333: Verified => $5383.653490410214 from Citi:2 to Capitol One:1
@1397848316407 | Worker 23: Stopped
@1397848316445 | Worker 122: Stopped
@1397848316483 | Transaction 342: Verified => $1150.8238151498363 from MetLife:21 to Wells Fargo:28
@1397848316521 | Transaction 342: Verifying
@1397848316559 | Transaction 344: Verified => $5415.581875459437 from Zion's Bank:1 to Citi:13
@1397848316597 | Transaction 334: Verifying
@1397848316636 | Transaction 338: Verified => $3319.592891533182 from MetLife:50 to MetLife:22
@1397848316674 | Worker 133: committing Transaction 352
@1397848316712 | Transaction 352: Verifying
@1397848316750 | OLTP Data Parser: 1 transactions in queue
@1397848316789 | Transaction 338: Verifying
@1397848316827 | Transaction 344: Verifying
@1397848316931 | Transaction 343: Verified => $3882.6076557104993 from ???????????? ????????:41 to Citi:28
@1397848316969 | Transaction 343: Verifying
@1397848317009 | Worker 144: committing Transaction 353
@1397848317048 | Transaction 353: Verifying
@1397848317086 | OLTP Data Parser: 1 transactions in queue
@1397848317124 | Transaction 340: Verified => $2565.495722426605 from MetLife:25 to Citi:28
@1397848317162 | Transaction 340: Verifying
@1397848317283 | Transaction 327: Error
@1397848317321 | Worker 64: Stopped
@1397848317361 | Worker 16: committing Transaction 354
@1397848317399 | Transaction 354: Verifying
@1397848317438 | OLTP Data Parser: 1 transactions in queue
@1397848317476 | Transaction 336: Verified => $8296.561533866996 from MetLife:33 to Wells Fargo:46
@1397848317514 | Transaction 346: Verified => $8273.45676752809 from Chase:11 to Citi:9
@1397848317552 | Transaction 346: Verifying
@1397848317677 | OLTP Data Parser: 1 transactions in queue
@1397848317715 | Worker 32: committing Transaction 355
@1397848317755 | Transaction 355: Verifying
@1397848317793 | Transaction 331: Verified => $4829.793786496794 from Wells Fargo:3 to Citi:7
@1397848317831 | Worker 27: Stopped
@1397848317870 | Transaction 339: Verified => $5284.198538274497 from MetLife:19 to MetLife:43
@1397848317909 | Worker 17: Stopped
@1397848317947 | Worker 30: committing Transaction 356
@1397848317986 | Transaction 356: Verifying
@1397848318024 | OLTP Data Parser: 1 transactions in queue
@1397848318062 | Transaction 332: Verified => $343.05795599956946 from ???????????? ????????:27 to Chase:40
@1397848318101 | Worker 115: Stopped
@1397848318141 | Transaction 348: Verified => $584.1061967729089 from ???????????? ????????:46 to MetLife:10
@1397848318179 | Transaction 348: Verifying
@1397848318263 | OLTP Data Parser: 1 transactions in queue
@1397848318302 | Worker 126: committing Transaction 357
@1397848318340 | Transaction 357: Verifying
@1397848318390 | Transaction 341: Verified => $4584.433475657505 from Wells Fargo:40 to Citi:17
@1397848318429 | Worker 121: Stopped
@1397848318503 | OLTP Data Parser: 1 transactions in queue
@1397848318541 | Worker 134: committing Transaction 358
@1397848318580 | Transaction 358: Verifying
@1397848318619 | Transaction 330: Verified => $2997.39542490981 from ???????????? ????????:33 to Wells Fargo:23
@1397848318658 | Worker 116: Stopped
@1397848318697 | Transaction 343: Verified => $3882.6076557104993 from ???????????? ????????:41 to Citi:28
@1397848318735 | Worker 137: Stopped
@1397848318774 | Worker 131: committing Transaction 359
@1397848318813 | Transaction 359: Verifying
@1397848318851 | OLTP Data Parser: 1 transactions in queue
@1397848318890 | Transaction 351: Verified => $231.9493039305731 from Zion's Bank:32 to MetLife:37
@1397848318929 | Transaction 351: Verifying
@1397848318969 | Transaction 334: Verified => $3787.766754465014 from Capitol One:4 to MetLife:10
@1397848319008 | Worker 29: Stopped
@1397848319091 | OLTP Data Parser: 1 transactions in queue
@1397848319131 | Worker 56: committing Transaction 360
@1397848319171 | Transaction 360: Verifying
@1397848319210 | Transaction 345: Verified => $593.419042388752 from ???????????? ????????:59 to Wells Fargo:43
@1397848319249 | Transaction 345: Verifying
@1397848319288 | Transaction 346: Verified => $8273.45676752809 from Chase:11 to Citi:9
@1397848319327 | Worker 129: Stopped
@1397848319366 | Transaction 335: Verified => $1069.450615786165 from Capitol One:1 to Zion's Bank:31
@1397848319405 | Worker 141: committing Transaction 361
@1397848319445 | Transaction 361: Verifying
@1397848319485 | OLTP Data Parser: 1 transactions in queue
@1397848319524 | Transaction 348: Verified => $584.1061967729089 from ???????????? ????????:46 to MetLife:10
@1397848319563 | Worker 65: Stopped
@1397848319603 | Transaction 349: Verified => $574.8452687733718 from Chase:35 to ???????????? ????????:71
@1397848319642 | Transaction 349: Verifying
@1397848319681 | Worker 132: Stopped
@1397848319720 | Transaction 347: Verified => $6202.587524769268 from MetLife:23 to Wells Fargo:3
@1397848319760 | Transaction 357: Verified => $2804.2618337604863 from ???????????? ????????:44 to MetLife:16
@1397848319800 | Transaction 356: Verified => $7188.774234447988 from Chase:33 to ???????????? ????????:76
@1397848319839 | Transaction 344: Verified => $5415.581875459437 from Zion's Bank:1 to Citi:13
@1397848319878 | Worker 119: Stopped
@1397848319917 | Worker 8: committing Transaction 362
@1397848319956 | Transaction 362: Verifying
@1397848319996 | OLTP Data Parser: 1 transactions in queue
@1397848320035 | Transaction 356: Verifying
@1397848320075 | Transaction 347: Verifying
@1397848320114 | Transaction 357: Verifying
@1397848320160 | Transaction 358: Verified => $7767.456440293078 from Zion's Bank:0 to MetLife:47
@1397848320200 | Transaction 353: Verified => $760.085824189386 from Wells Fargo:36 to Chase:20
@1397848320239 | Worker 136: committing Transaction 363
@1397848320281 | Transaction 363: Verifying
@1397848320321 | OLTP Data Parser: 1 transactions in queue
@1397848320362 | Transaction 358: Verifying
@1397848320401 | Transaction 340: Verified => $2565.495722426605 from MetLife:25 to Citi:28
@1397848320443 | Worker 127: Stopped
@1397848320483 | Transaction 353: Verifying
@1397848320523 | Transaction 350: Verified => $4116.972016305537 from Wells Fargo:38 to Wells Fargo:38
@1397848320564 | Worker 3: committing Transaction 364
@1397848320604 | Transaction 364: Verifying
@1397848320646 | OLTP Data Parser: 1 transactions in queue
@1397848320686 | Transaction 350: Verifying
@1397848320725 | Transaction 359: Verified => $7414.549897852083 from ???????????? ????????:45 to Zion's Bank:15
@1397848320765 | Transaction 359: Verifying
@1397848320887 | OLTP Data Parser: 1 transactions in queue
@1397848320926 | Worker 135: committing Transaction 365
@1397848320967 | Transaction 365: Verifying
@1397848321006 | Transaction 354: Verified => $4870.262401606982 from MetLife:21 to Wells Fargo:22
@1397848321046 | Transaction 354: Verifying
@1397848321127 | OLTP Data Parser: 1 transactions in queue
@1397848321167 | Worker 123: committing Transaction 366
@1397848321206 | Transaction 366: Verifying
@1397848321294 | Transaction 345: Verified => $593.419042388752 from ???????????? ????????:59 to Wells Fargo:43
@1397848321334 | Worker 128: Stopped
@1397848321374 | Transaction 338: Verified => $3319.592891533182 from MetLife:50 to MetLife:22
@1397848321413 | Worker 118: Stopped
@1397848321453 | Worker 0: committing Transaction 367
@1397848321492 | Transaction 367: Verifying
@1397848321531 | OLTP Data Parser: 1 transactions in queue
@1397848321571 | Transaction 342: Verified => $1150.8238151498363 from MetLife:21 to Wells Fargo:28
@1397848321611 | Worker 120: Stopped
@1397848321677 | Transaction 352: Verified => $282.9270693886732 from MetLife:38 to ???????????? ????????:52
@1397848321717 | Transaction 352: Verifying
@1397848321757 | Transaction 364: Verified => $6906.502859674709 from ???????????? ????????:7 to ???????????? ????????:42
@1397848321797 | Worker 140: committing Transaction 368
@1397848321837 | Transaction 368: Verifying
@1397848321876 | OLTP Data Parser: 1 transactions in queue
@1397848321916 | Transaction 358: Verified => $7767.456440293078 from Zion's Bank:0 to MetLife:47
@1397848321956 | Worker 134: Stopped
@1397848321996 | Transaction 364: Verifying
@1397848322116 | OLTP Data Parser: 1 transactions in queue
@1397848322156 | Worker 139: committing Transaction 369
@1397848322197 | Transaction 369: Verifying
@1397848322238 | Transaction 350: Verified => $4116.972016305537 from Wells Fargo:38 to Wells Fargo:38
@1397848322303 | Transaction 355: Error
@1397848322342 | Transaction 355: Verifying
@1397848322383 | Worker 14: committing Transaction 370
@1397848322423 | Transaction 370: Verifying
@1397848322463 | OLTP Data Parser: 1 transactions in queue
@1397848322503 | Transaction 361: Verified => $4336.944599793403 from Chase:10 to Wells Fargo:52
@1397848322543 | Transaction 361: Verifying
@1397848322696 | Transaction 347: Verified => $6202.587524769268 from MetLife:23 to Wells Fargo:3
@1397848322736 | Worker 38: Stopped
@1397848322777 | Worker 1: committing Transaction 371
@1397848322817 | Transaction 371: Verifying
@1397848322857 | OLTP Data Parser: 1 transactions in queue
@1397848322897 | Transaction 352: Verified => $282.9270693886732 from MetLife:38 to ???????????? ????????:52
@1397848322937 | Worker 133: Stopped
@1397848323097 | OLTP Data Parser: 1 transactions in queue
@1397848323137 | Worker 21: committing Transaction 372
@1397848323179 | Transaction 372: Verifying
@1397848323338 | OLTP Data Parser: 1 transactions in queue
@1397848323379 | Worker 47: committing Transaction 373
@1397848323420 | Transaction 373: Verifying
@1397848323507 | Transaction 355: Error
@1397848323551 | Worker 32: Stopped
@1397848323591 | Transaction 357: Verified => $2804.2618337604863 from ???????????? ????????:44 to MetLife:16
@1397848323632 | Worker 126: Stopped
@1397848323672 | Worker 142: committing Transaction 374
@1397848323712 | Transaction 374: Verifying
@1397848323752 | OLTP Data Parser: 1 transactions in queue
@1397848323793 | Transaction 360: Verified => $8966.08731902338 from MetLife:26 to Citi:3
@1397848323832 | Transaction 360: Verifying
@1397848323873 | Transaction 362: Verified => $8143.338578109205 from Zion's Bank:41 to Zion's Bank:26
@1397848323913 | Transaction 354: Verified => $4870.262401606982 from MetLife:21 to Wells Fargo:22
@1397848323953 | Worker 16: Stopped
@1397848323993 | Transaction 349: Verified => $574.8452687733718 from Chase:35 to ???????????? ????????:71
@1397848324033 | Worker 10: Stopped
@1397848324073 | Transaction 362: Verifying
@1397848324114 | Transaction 368: Verified => $5592.446897767076 from ???????????? ????????:73 to ???????????? ????????:50
@1397848324154 | Transaction 351: Verified => $231.9493039305731 from Zion's Bank:32 to MetLife:37
@1397848324194 | Worker 130: Stopped
@1397848324235 | Transaction 359: Verified => $7414.549897852083 from ???????????? ????????:45 to Zion's Bank:15
@1397848324276 | Transaction 365: Verified => $7613.095927665613 from Zion's Bank:37 to Zion's Bank:35
@1397848324316 | Transaction 367: Verified => $8702.605810552786 from Citi:3 to Wells Fargo:10
@1397848324357 | Worker 147: committing Transaction 375
@1397848324397 | Transaction 375: Verifying
@1397848324437 | OLTP Data Parser: 1 transactions in queue
@1397848324477 | Transaction 356: Verified => $7188.774234447988 from Chase:33 to ???????????? ????????:76
@1397848324518 | Transaction 366: Verified => $6922.931803202688 from MetLife:9 to Chase:28
@1397848324558 | Transaction 366: Verifying
@1397848324599 | Worker 131: Stopped
@1397848324639 | Transaction 363: Verified => $9835.032174309501 from Wells Fargo:28 to Citi:11
@1397848324680 | Worker 30: Stopped
@1397848324720 | Transaction 371: Error
@1397848324761 | Transaction 368: Verifying
@1397848324802 | Transaction 365: Verifying
@1397848324842 | Transaction 367: Verifying
@1397848324883 | Worker 146: committing Transaction 376
@1397848324925 | Transaction 376: Verifying
@1397848324965 | OLTP Data Parser: 1 transactions in queue
@1397848325006 | Transaction 373: Verified => $397.35885394248993 from Chase:1 to Citi:2
@1397848325047 | Transaction 363: Verifying
@1397848325088 | Transaction 371: Verifying
@1397848325129 | Transaction 373: Verifying
@1397848325172 | Transaction 353: Verified => $760.085824189386 from Wells Fargo:36 to Chase:20
@1397848325212 | Worker 143: committing Transaction 377
@1397848325253 | Transaction 377: Verifying
@1397848325294 | OLTP Data Parser: 1 transactions in queue
@1397848325422 | Transaction 364: Verified => $6906.502859674709 from ???????????? ????????:7 to ???????????? ????????:42
@1397848325463 | Worker 3: Stopped
@1397848325535 | OLTP Data Parser: 1 transactions in queue
@1397848325576 | Worker 145: committing Transaction 378
@1397848325618 | Transaction 378: Verifying
@1397848325672 | Transaction 370: Verified => $3452.211108179194 from ???????????? ????????:32 to Chase:26
@1397848325713 | Transaction 370: Verifying
@1397848325754 | Transaction 360: Verified => $8966.08731902338 from MetLife:26 to Citi:3
@1397848325795 | Worker 56: Stopped
@1397848325836 | Worker 149: committing Transaction 379
@1397848325877 | Transaction 379: Verifying
@1397848325918 | OLTP Data Parser: 1 transactions in queue
@1397848325958 | Transaction 369: Verified => $7643.203463467443 from Zion's Bank:13 to Wells Fargo:49
@1397848325999 | Transaction 369: Verifying
@1397848326072 | Transaction 367: Verified => $8702.605810552786 from Citi:3 to Wells Fargo:10
@1397848326112 | Worker 0: Stopped
@1397848326159 | OLTP Data Parser: 1 transactions in queue
@1397848326201 | Worker 148: committing Transaction 380
@1397848326242 | Transaction 380: Verifying
@1397848326283 | Transaction 363: Verified => $9835.032174309501 from Wells Fargo:28 to Citi:11
@1397848326324 | Worker 136: Stopped
@1397848326402 | OLTP Data Parser: 1 transactions in queue
@1397848326443 | Worker 150: committing Transaction 381
@1397848326484 | Transaction 381: Verifying
@1397848326599 | Transaction 361: Verified => $4336.944599793403 from Chase:10 to Wells Fargo:52
@1397848326643 | OLTP Data Parser: 1 transactions in queue
@1397848326684 | Worker 144: committing Transaction 382
@1397848326725 | Transaction 382: Verifying
@1397848326885 | OLTP Data Parser: 1 transactions in queue
@1397848326926 | Transaction 374: Verified => $208.67137883978205 from Wells Fargo:31 to Citi:10
@1397848326969 | Transaction 374: Verifying
@1397848327010 | Worker 141: committing Transaction 383
@1397848327051 | Transaction 383: Verifying
@1397848327092 | OLTP Data Parser: 1 transactions in queue
@1397848327133 | Transaction 376: Verified => $2744.9650364399745 from Citi:13 to Capitol One:12
@1397848327174 | Transaction 376: Verifying
@1397848327215 | Transaction 377: Verified => $668.9738438003611 from Zion's Bank:30 to Chase:20
@1397848327258 | Transaction 368: Verified => $5592.446897767076 from ???????????? ????????:73 to ???????????? ????????:50
@1397848327299 | Transaction 375: Error
@1397848327341 | OLTP Data Parser: 2 transactions in queue
@1397848327382 | Worker 140: committing Transaction 384
@1397848327424 | Transaction 384: Verifying
@1397848327465 | Transaction 377: Verifying
@1397848327507 | Transaction 375: Verifying
@1397848327549 | Transaction 379: Verified => $5857.26960456027 from MetLife:36 to Wells Fargo:5
@1397848327590 | OLTP Data Parser: 2 transactions in queue
@1397848327632 | Transaction 362: Verified => $8143.338578109205 from Zion's Bank:41 to Zion's Bank:26
@1397848327673 | Transaction 379: Verifying
@1397848327715 | Transaction 380: Verified => $3984.590633219909 from Chase:35 to Chase:17
@1397848327756 | OLTP Data Parser: 3 transactions in queue
@1397848327798 | Worker 8: Stopped
@1397848327839 | Transaction 380: Verifying
@1397848327881 | OLTP Data Parser: 4 transactions in queue
@1397848327972 | Transaction 372: Error
@1397848328014 | OLTP Data Parser: 5 transactions in queue
@1397848328055 | Transaction 382: Verified => $5166.046718673381 from Chase:8 to Citi:14
@1397848328096 | Transaction 382: Verifying
@1397848328138 | OLTP Data Parser: 6 transactions in queue
@1397848328180 | Transaction 372: Verifying
@1397848328221 | Transaction 365: Verified => $7613.095927665613 from Zion's Bank:37 to Zion's Bank:35
@1397848328262 | Worker 135: Stopped
@1397848328303 | Transaction 370: Verified => $3452.211108179194 from ???????????? ????????:32 to Chase:26
@1397848328345 | Worker 14: Stopped
@1397848328386 | OLTP Data Parser: 7 transactions in queue
@1397848328511 | OLTP Data Parser: 8 transactions in queue
@1397848328632 | Transaction 366: Verified => $6922.931803202688 from MetLife:9 to Chase:28
@1397848328674 | Worker 123: Stopped
@1397848328717 | OLTP Data Parser: 9 transactions in queue
@1397848328835 | Transaction 371: Error
@1397848328877 | Worker 1: Stopped
@1397848328920 | OLTP Data Parser: 10 transactions in queue
@1397848329045 | OLTP Data Parser: 11 transactions in queue
@1397848329170 | OLTP Data Parser: 12 transactions in queue
@1397848329212 | Transaction 383: Verified => $6653.42674301802 from Capitol One:3 to Wells Fargo:39
@1397848329255 | Transaction 383: Verifying
@1397848329296 | OLTP Data Parser: 13 transactions in queue
@1397848329338 | Transaction 375: Error
@1397848329380 | Transaction 374: Verified => $208.67137883978205 from Wells Fargo:31 to Citi:10
@1397848329422 | Worker 142: committing Transaction 386
@1397848329463 | Transaction 386: Verifying
@1397848329505 | OLTP Data Parser: 13 transactions in queue
@1397848329546 | Transaction 373: Verified => $397.35885394248993 from Chase:1 to Citi:2
@1397848329588 | Worker 147: committing Transaction 385
@1397848329629 | Transaction 385: Verifying
@1397848329671 | Worker 47: Stopped
@1397848329713 | Transaction 384: Verified => $7245.516450774203 from Wells Fargo:46 to Capitol One:7
@1397848329754 | OLTP Data Parser: 13 transactions in queue
@1397848329796 | Transaction 384: Verifying
@1397848329879 | OLTP Data Parser: 14 transactions in queue
@1397848330007 | OLTP Data Parser: 15 transactions in queue
@1397848330073 | Transaction 369: Verified => $7643.203463467443 from Zion's Bank:13 to Wells Fargo:49
@1397848330115 | Worker 139: Stopped
@1397848330157 | Transaction 372: Error
@1397848330199 | Worker 21: Stopped
@1397848330241 | OLTP Data Parser: 16 transactions in queue
@1397848330283 | Transaction 380: Verified => $3984.590633219909 from Chase:35 to Chase:17
@1397848330324 | Worker 148: committing Transaction 387
@1397848330366 | Transaction 387: Verifying
@1397848330408 | Transaction 378: Verified => $9179.277508476807 from ???????????? ????????:60 to Chase:41
@1397848330450 | OLTP Data Parser: 16 transactions in queue
@1397848330493 | Transaction 378: Verifying
@1397848330577 | OLTP Data Parser: 17 transactions in queue
@1397848330703 | OLTP Data Parser: 18 transactions in queue
@1397848330828 | OLTP Data Parser: 19 transactions in queue
@1397848330940 | Transaction 385: Verified => $2607.683077839055 from Citi:20 to Chase:42
@1397848330983 | OLTP Data Parser: 20 transactions in queue
@1397848331026 | Transaction 385: Verifying
@1397848331109 | OLTP Data Parser: 21 transactions in queue
@1397848331212 | Transaction 381: Verified => $3277.8699221676957 from MetLife:1 to Capitol One:16
@1397848331254 | OLTP Data Parser: 22 transactions in queue
@1397848331297 | Transaction 381: Verifying
@1397848331344 | Transaction 376: Verified => $2744.9650364399745 from Citi:13 to Capitol One:12
@1397848331386 | Worker 146: committing Transaction 388
@1397848331428 | Transaction 388: Verifying
@1397848331471 | OLTP Data Parser: 23 transactions in queue
@1397848331541 | Transaction 384: Verified => $7245.516450774203 from Wells Fargo:46 to Capitol One:7
@1397848331583 | Worker 140: committing Transaction 389
@1397848331625 | Transaction 389: Verifying
@1397848331667 | OLTP Data Parser: 22 transactions in queue
@1397848331709 | Transaction 377: Verified => $668.9738438003611 from Zion's Bank:30 to Chase:20
@1397848331752 | Worker 143: committing Transaction 390
@1397848331794 | Transaction 390: Verifying
@1397848331836 | OLTP Data Parser: 22 transactions in queue
@1397848331878 | Transaction 382: Verified => $5166.046718673381 from Chase:8 to Citi:14
@1397848331922 | Worker 144: committing Transaction 391
@1397848331964 | Transaction 391: Verifying
@1397848332006 | OLTP Data Parser: 22 transactions in queue
@1397848332048 | Transaction 386: Verified => $3395.4624063783745 from Chase:11 to Chase:32
@1397848332091 | Transaction 386: Verifying
@1397848332133 | Transaction 379: Verified => $5857.26960456027 from MetLife:36 to Wells Fargo:5
@1397848332176 | Worker 149: committing Transaction 392
@1397848332218 | Transaction 392: Verifying
@1397848332261 | OLTP Data Parser: 23 transactions in queue
@1397848332304 | Transaction 378: Verified => $9179.277508476807 from ???????????? ????????:60 to Chase:41
@1397848332346 | Worker 145: committing Transaction 393
@1397848332388 | Transaction 393: Verifying
@1397848332431 | OLTP Data Parser: 22 transactions in queue
@1397848332557 | OLTP Data Parser: 23 transactions in queue
@1397848332684 | OLTP Data Parser: 24 transactions in queue
@1397848332744 | Transaction 388: Verified => $6099.645951501898 from Capitol One:15 to Wells Fargo:45
@1397848332786 | Transaction 388: Verifying
